player,position,team_name,player_game_count,grades_defense,snap_counts_defense,snap_counts_dl,,Avg Grade
Eric Weddle,S,LA,4,75,192,3,,
DeSean Jackson,WR,LV,1,60,1,0,,
Corey Peters,DI,ARZ,15,58,399,397,,
Matthew Slater,WR,NE,1,70.2,1,0,,
Malcolm Jenkins,S,NO,16,64.5,1042,143,,
Jason McCourty,S,MIA,7,72.1,312,6,,
J.J. Watt,DI,ARZ,8,78.6,365,362,,
Chandler Jones,ED,ARZ,16,66.9,875,863,,
Devon Kennard,ED,ARZ,16,77,280,277,,
Joe Haden,CB,PIT,13,62.1,695,3,,
Josh Mauro,ED,ARZ,5,54.8,62,62,,
Jordan Phillips,DI,ARZ,9,62.7,284,279,,
Markus Golden,ED,ARZ,17,75.2,726,699,,
Kareem Jackson,S,DEN,15,52,895,3,,
Devin McCourty,S,NE,18,75.4,1075,8,,
Jonathan Ledbetter,DI,ARZ,1,36.1,10,10,,
Rashard Lawrence,DI,ARZ,12,66.4,247,246,,
Leki Fotu,DI,ARZ,18,37.1,386,382,,
Kylie Fitts,ED,ARZ,4,59,23,19,,
Andre Roberts,WR,LAC,1,70.2,1,0,,
Michael Dogbe,DI,ARZ,17,50.7,268,265,,
Zach Allen,ED,ARZ,16,56.7,727,696,,60.15333333
Anthony Levine,S,BLT,3,44.3,32,5,,
Andrew Sendejo,S,IND,12,62.9,610,27,,
Victor Dimukeje,ED,ARZ,4,52.4,46,45,,
Patrick Peterson,CB,MIN,13,63,884,2,,
Dennis Gardeck,ED,ARZ,15,62.1,179,124,,
Steven Means,ED,ATL,14,46.5,693,641,,
Brandon Copeland,ED,ATL,16,47,339,298,,
Mike Pennel,DI,ATL,10,49,249,249,,
Jimmy Smith,CB,BLT,10,65.9,293,5,,
Dante Fowler Jr.,ED,ATL,14,55.9,508,500,,
Grady Jarrett,DI,ATL,17,67.6,864,863,,
Tyeler Davison,DI,ATL,12,46.8,358,358,,
K.J. Wright,LB,LV,18,65.1,442,146,,
Taiwan Jones,HB,BUF,1,70.2,1,0,,
Buster Skrine,CB,TEN,7,64.9,240,0,,
Richard Sherman,CB,TB,5,53.3,141,2,,
James Vaughters,ED,ATL,10,57.1,210,198,,
Jonathan Bullard,DI,ATL,9,56.7,224,223,,
Malcolm Smith,LB,CLV,15,57,425,21,,
Chris Harris Jr.,CB,LAC,14,62.4,747,13,,
Josh Bynes,LB,BLT,14,74.8,537,8,,
Nick Bellore,FB,SEA,1,59.9,1,0,,
Adetokunbo Ogundeji,ED,ATL,16,54.2,527,525,,58.57222222
Stephon Gilmore,CB,CAR,8,77.1,304,1,,
Marlon Davidson,DI,ATL,11,55.1,270,269,,
Nick Thurman,DI,ATL,1,52.1,17,17,,
Ta'Quon Graham,DI,ATL,13,47.3,309,309,,
Dre Kirkpatrick,CB,SF,3,50.7,95,1,,
Anthony Rush,DI,ATL,12,56.4,266,266,,
John Cominsky,ED,ATL,3,27.4,13,12,,
Dont'a Hightower,LB,NE,16,49.6,679,199,,
Calais Campbell,DI,BLT,15,80.8,615,613,,
Janoris Jenkins,CB,TEN,15,65.9,927,3,,
Bobby Wagner,LB,SEA,16,71.8,1129,11,,
Tavon Wilson,S,SF,4,57.7,102,3,,
Lavonte David,LB,TB,14,72.3,915,51,,
Casey Hayward Jr.,CB,LV,18,76.6,1153,18,,
Demario Davis,LB,NO,16,77.9,1038,143,,
Justin Houston,ED,BLT,15,77.8,577,574,,
Travis Benjamin,WR,SF,1,70.2,1,0,,
Kyle Wilber,LB,LV,1,60.4,4,2,,
Pernell McPhee,ED,BLT,10,51.9,234,218,,
Danny Trevathan,LB,CHI,5,45.1,77,3,,
Nate Ebner,S,NYG,1,70.3,1,0,,
Rodney McLeod,S,PHI,14,64.8,756,9,,
Michael Thomas,S,CIN,6,53.4,91,4,,
Tashaun Gipson Sr.,S,CHI,12,51.5,660,24,,
Julian Stanford,LB,CAR,6,51.1,76,7,,
Brandon Bolden,HB,NE,1,47.3,1,0,,
Harrison Smith,S,MIN,15,77.9,1048,104,,
Brandon Williams,DI,BLT,13,49.1,447,446,,
Josh Norman,CB,SF,16,47.2,768,12,,
Justin Bethel,CB,NE,10,56.5,55,3,,
D.J. Hayden,CB,WAS,1,26,4,0,,
Justin Ellis,DI,BLT,17,49.2,381,381,,
Tyus Bowser,ED,BLT,17,73.7,832,696,,
Desmond Trufant,CB,LV,11,66.1,277,3,,
Xavier Rhodes,CB,IND,13,61.8,638,1,,
Cordarrelle Patterson,HB,ATL,2,59.9,2,0,,
Alec Ogletree,LB,CHI,16,29.2,697,40,,
Darius Slay,CB,PHI,17,81,1024,4,,
Kevin Minter,LB,TB,13,54.1,335,7,,
Isaiah Mack,DI,BLT,2,86.8,31,31,,
Jon Bostic,LB,WAS,4,34.4,179,12,,
Jamie Collins Sr.,LB,NE,13,78,335,131,,
Daelin Hayes,ED,BLT,1,55,4,4,,
Robert Alford,CB,ARZ,13,66.9,580,0,,
Tyrann Mathieu,S,KC,19,67.4,1127,51,,
Justin Madubuike,DI,BLT,15,56.6,482,479,,
Logan Ryan,S,NYG,15,60.4,1003,51,,
Shawn Williams,S,ATL,5,62.6,164,12,,
Duron Harmon,S,ATL,17,58.3,1071,10,,
Jaylon Ferguson,ED,BLT,10,47.1,133,132,,
Broderick Washington,DI,BLT,14,59.8,293,293,,
Kahlil McKenzie,DI,BLT,5,71,41,41,,
Odafe Oweh,ED,BLT,15,67.9,615,592,,61.12666667
Jerry Hughes,ED,BUF,19,70.7,624,620,,
Mario Addison,ED,BUF,19,60.8,539,520,,
A.J. Klein,LB,BUF,12,48.9,299,16,,
Micah Hyde,S,BUF,19,83.8,1146,51,,
Jordan Poyer,S,BUF,18,77.7,1106,68,,
Star Lotulelei,DI,BUF,13,43.3,370,370,,
Efe Obada,ED,BUF,11,53,273,273,,
Daren Bates,LB,ATL,2,90.4,9,0,,
A.J. Bouye,CB,CAR,10,66.8,401,11,,
Jahleel Addae,S,IND,5,71.1,132,7,,
Vernon Butler,DI,BUF,11,34.8,307,307,,
Justin Zimmer,DI,BUF,6,63.6,161,161,,
Bradley McDougald,S,JAX,3,44.9,93,0,,
Rashaan Melvin,CB,CAR,10,59.2,247,5,,
Tony Jefferson,S,BLT,5,73.5,92,12,,
Brandin Bryant,DI,BUF,2,70.5,32,32,,
Jeff Heath,S,NO,4,57.1,73,3,,
Chris Banjo,S,ARZ,4,64.2,19,5,,
Nickell Robey-Coleman,CB,DET,1,47.8,62,0,,
LaRoy Reynolds,LB,NYJ,1,60,1,0,,
Demetrius Harris,TE,ARZ,1,60,1,0,,
Ed Oliver,DI,BUF,19,72.3,698,695,,
Boogie Basham,ED,BUF,10,63.3,244,244,,
Harrison Phillips,DI,BUF,16,75.2,555,555,,
Anthony Barr,LB,MIN,11,62.9,783,96,,
Eli Ankou,DI,BUF,6,52.8,109,109,,
Kyle Fuller,CB,DEN,16,47.2,719,18,,
C.J. Mosley,LB,NYJ,16,42,1098,46,,
Ha Ha Clinton-Dix,S,DEN,1,70.2,1,0,,
A.J. Epenesa,ED,BUF,16,65.2,376,374,,
Darqueze Dennard,CB,SF,1,68,21,0,,
Jason Verrett,CB,SF,1,67.6,60,0,,
Jimmie Ward,S,SF,19,74.8,1197,19,,
Bradley Roby,CB,NO,14,64.6,395,9,,
Greg Rousseau,ED,BUF,19,73.1,599,598,,62.89428571
Kyle Van Noy,LB,NE,17,71.7,864,480,,
Lamarcus Joyner,S,NYJ,1,67,9,0,,
DaQuan Jones,DI,CAR,17,66.4,640,638,,
Christian Kirksey,LB,HST,13,50.3,790,19,,
Terrence Brooks,S,HST,10,51.8,180,9,,
Bashaud Breeland,CB,MIN,13,47.2,675,5,,
Morgan Fox,DI,CAR,17,55.7,561,560,,
Haason Reddick,ED,CAR,16,67.9,852,819,,
Ross Cockrell,CB,TB,17,68.5,477,11,,
Bravvion Roy,DI,CAR,17,47.6,341,341,,
Anthony Hitchens,LB,KC,18,52.2,697,20,,
Pierre Desir,CB,TB,10,69.8,308,1,,
Dontae Johnson,CB,SF,14,63.5,325,3,,
Kevin Pierre-Louis,LB,HST,3,81,29,4,,
Nevin Lawson,CB,JAX,10,54.6,325,7,,
Darryl Johnson,ED,CAR,3,39.1,20,20,,
Ricardo Allen,S,CIN,13,55.4,171,4,,
Frank Herron,DI,CAR,1,56.5,8,8,,
Derrick Brown,DI,CAR,16,64.4,631,631,,
Brian Burns,ED,CAR,17,60.8,838,826,,58.48333333
T.J. Carrie,CB,IND,9,53.5,142,5,,
Jacob Tuioti-Mariner,ED,CAR,6,54.5,73,66,,
Marquis Haynes Sr.,ED,CAR,17,71.3,222,219,,
Terrance Mitchell,CB,HST,14,52.4,796,27,,
Yetur Gross-Matos,ED,CAR,14,63.8,349,349,,
Phil Hoskins,DI,CAR,3,44.6,28,28,,
Azur Kamara,ED,CAR,5,58.1,34,34,,
Daviyon Nixon,DI,CAR,7,66.1,82,82,,
Christian Jones,LB,CHI,11,45.3,116,27,,
