player,position,team_name,player_game_count,grades_offense,grades_pass_block,grades_run_block,snap_counts_block,,Average Grade
D.J. Humphries,T,ARZ,17,67.5,65.7,69.8,1138,,
Kelvin Beachum,T,ARZ,16,60.8,69.4,56,1006,,
Max Garcia,G,ARZ,14,54.3,53.3,54.2,864,,
Justin Pugh,G,ARZ,14,64.5,73.4,57.5,858,,
Rodney Hudson,C,ARZ,13,57.4,64.6,54.7,854,,
Josh Jones,G,ARZ,17,46.8,48.3,52.8,853,,
Sean Harlow,G,ARZ,11,55.7,59.3,54.4,441,,58.14285714
A.J. Green,WR,ARZ,17,67.8,,38,338,,
Christian Kirk,WR,ARZ,18,72.1,,48.4,329,,
Kyler Murray,QB,ARZ,15,82.9,,61.4,314,,
Zach Ertz,TE,ARZ,18,65.5,77,46.9,314,,
DeAndre Hopkins,WR,ARZ,10,79.8,,54.5,217,,
Antoine Wesley,WR,ARZ,16,60.1,,65.4,209,,
Darrell Daniels,TE,ARZ,16,49.9,67,59.3,192,,
James Conner,HB,ARZ,16,81.9,89.1,73.9,148,,
Rondale Moore,WR,ARZ,15,70.7,,53.6,144,,
Demetrius Harris,TE,ARZ,15,43.9,64.8,49.8,138,,
Chase Edmonds,HB,ARZ,13,66.6,51.7,44.9,98,,
Chris Lindstrom,G,ATL,17,83.7,65.3,87.6,1034,,
Jake Matthews,T,ATL,17,71.3,77.2,58.7,1029,,
Jalen Mayfield,G,ATL,16,48.7,27.6,66.3,989,,
Matt Hennessy,C,ATL,17,76.4,50.5,88.1,988,,
Kaleb McGary,T,ATL,16,62.8,50.6,72.2,986,,68.58
Matt Ryan,QB,ATL,17,74.7,,60.7,342,,
Lee Smith,TE,ATL,16,70.1,55.6,67.2,266,,
Kyle Pitts,TE,ATL,17,80.3,69.7,55.6,237,,
Olamide Zaccheaus,WR,ATL,17,63.4,56.6,66.1,211,,
Russell Gage,WR,ATL,14,75.2,,43.9,202,,
Keith Smith,FB,ATL,17,61.8,65.9,56.1,189,,
Hayden Hurst,TE,ATL,13,55.3,32.5,57.7,178,,
Tajae Sharpe,WR,ATL,15,54.4,,54.3,167,,
Mike Davis,HB,ATL,17,56.1,43.2,57.6,118,,
Cordarrelle Patterson,HB,ATL,16,81.3,53,66.4,62,,
Christian Blake,WR,ATL,13,54.8,,60.7,48,,
Kevin Zeitler,G,BLT,17,75.1,79.7,68.7,1221,,
Alejandro Villanueva,T,BLT,17,65.4,58.7,65.9,1205,,
Bradley Bozeman,C,BLT,16,73.6,73.8,71.1,1125,,
Ben Powers,G,BLT,13,66.3,66.1,63.6,844,,
Patrick Mekari,T,BLT,13,66.1,73.8,55.7,761,,
Patrick Ricard,FB,BLT,13,73.9,61.1,87.1,407,,
Mark Andrews,TE,BLT,17,91.5,74,75.3,272,,
Marquise Brown,WR,BLT,16,68.6,,59,265,,
Eric Tomlinson,TE,BLT,17,66.1,71.1,77.3,251,,
Lamar Jackson,QB,BLT,12,70.2,,60,228,,
Devin Duvernay,WR,BLT,16,55.7,72.8,59.8,190,,
Rashod Bateman,WR,BLT,12,64.9,,51.4,172,,
Sammy Watkins,WR,BLT,13,66.3,,72.3,170,,
Trystan Colon,C,BLT,12,62.6,74.5,58.8,144,,69.02142857
Latavius Murray,HB,BLT,14,65.5,48.5,68.7,98,,
Devonta Freeman,HB,BLT,16,68.2,52.8,45.6,88,,
Josh Oliver,TE,BLT,13,51.3,74.7,53.2,62,,
James Proche II,WR,BLT,14,66.9,,57.7,35,,
Tylan Wallace,WR,BLT,12,55.5,66.6,88.6,27,,
Daryl Williams,G,BUF,19,66.8,72.3,59,1292,,
Mitch Morse,C,BUF,19,63.4,71.8,58.8,1284,,
Dion Dawkins,T,BUF,18,79.4,82.8,69.2,1208,,
Spencer Brown,T,BUF,15,59.8,49.1,71.6,846,,
Ike Boettger,G,BUF,13,59.8,72.2,51.3,636,,
Cody Ford,G,BUF,12,46.7,47.2,48,488,,
Dawson Knox,TE,BUF,17,63.6,48.4,56.5,416,,
Ryan Bates,G,BUF,17,66.3,70.5,63.9,411,,63.225
Josh Allen,QB,BUF,19,90.9,,60.3,347,,
Stefon Diggs,WR,BUF,19,81,67.2,48.5,319,,
Gabe Davis,WR,BUF,18,81.5,81.2,72.5,251,,
Emmanuel Sanders,WR,BUF,16,66.4,,45.3,222,,
Cole Beasley,WR,BUF,18,68.3,,51,169,,
Devin Singletary,HB,BUF,19,69,48,49.7,152,,
Tommy Sweeney,TE,BUF,13,44.4,58.5,58.5,142,,
Reggie Gilliam,FB,BUF,17,69.8,84.7,76.3,133,,
Isaiah McKenzie,WR,BUF,17,72.3,,32.5,107,,
Zack Moss,HB,BUF,14,66.8,36.6,53.8,97,,
Jake Kumerow,WR,BUF,17,54.7,65.3,58.3,72,,
Taylor Moton,T,CAR,17,77.5,79.4,70.7,1149,,
Michael Jordan,G,CAR,11,50.7,49,55.4,703,,
John Miller,G,CAR,10,52.1,50.5,50.1,656,,
Dennis Daley,G,CAR,12,51.8,36.4,61.3,573,,
Brady Christensen,T,CAR,10,61.6,63.2,56.2,480,,58.74
Ian Thomas,TE,CAR,17,52.1,54.7,62.6,387,,
DJ Moore,WR,CAR,17,76.9,66.8,62.6,332,,
Robbie Chosen,WR,CAR,17,60.6,,57.8,323,,
Sam Darnold,QB,CAR,12,54.7,,60.3,258,,
Tommy Tremble,TE,CAR,16,55.2,53.2,64,233,,
Brandon Zylstra,WR,CAR,13,63.8,,57.1,142,,
Terrace Marshall Jr.,WR,CAR,13,53.3,,61.7,131,,
Giovanni Ricci,FB,CAR,16,43.2,73.1,44.2,117,,
Chuba Hubbard,HB,CAR,17,64.9,52.7,64.1,104,,
Colin Thompson,TE,CAR,10,33.6,25.3,48.9,89,,
Ameer Abdullah,HB,CAR,15,62.4,31.7,71.2,61,,
