player,position,team_name,player_game_count,grades_defense,snap_counts_defense,,Average Grade
J.J. Watt,DI,ARZ,16,68.3,816,,
Markus Golden,ED,ARZ,17,65.3,781,,
Jonathan Ledbetter,DI,ARZ,14,43.4,275,,
Trysten Hill,DI,ARZ,13,62.8,229,,
Leki Fotu,DI,ARZ,17,32.4,499,,
Kareem Jackson,S,DEN,17,64.5,1137,,
Devin McCourty,S,NE,17,70,1097,,
Michael Dogbe,DI,ARZ,13,34.8,282,,
Zach Allen,DI,ARZ,13,72.7,660,,
Victor Dimukeje,ED,ARZ,14,57,251,,
Dennis Gardeck,ED,ARZ,14,62.2,210,,
Myjai Sanders,ED,ARZ,13,53.5,260,,
Cameron Thomas,ED,ARZ,17,69.9,237,,58.21538462
Patrick Peterson,CB,MIN,18,77.8,1176,,
Grady Jarrett,DI,ATL,17,71.3,856,,
Abdullah Anderson,DI,ATL,16,62.8,433,,
Timmy Horne,DI,ATL,17,47.4,385,,
Adetokunbo Ogundeji,ED,ATL,16,43.8,541,,
Lorenzo Carter,ED,ATL,17,60.5,909,,
Arnold Ebiketie,ED,ATL,16,64.5,516,,
Chris Harris Jr.,CB,NO,10,50.1,375,,
Josh Bynes,LB,BLT,7,54.2,269,,
Nick Bellore,FB,SEA,3,80.8,10,,
Ta'Quon Graham,DI,ATL,11,68.5,471,,
Stephon Gilmore,CB,IND,16,79.1,1064,,
DeAngelo Malone,ED,ATL,15,57.5,216,,61.70833333
Michael Brockers,DI,DET,6,51.3,123,,
Calais Campbell,DI,BLT,15,76.9,583,,
Jason Pierre-Paul,ED,BLT,15,56.4,555,,
Justin Houston,ED,BLT,15,77.1,423,,
Janoris Jenkins,CB,SF,3,57.9,49,,
Bobby Wagner,LB,LA,17,90.7,1079,,
Lavonte David,LB,TB,18,85.1,1143,,
Brent Urban,DI,BLT,17,52.8,309,,
Casey Hayward Jr.,CB,ATL,6,64.7,355,,
Demario Davis,LB,NO,17,82.7,1132,,
Tyus Bowser,ED,BLT,10,60,390,,
Rodney McLeod,S,IND,17,80.1,1034,,
Michael Thomas,S,CIN,3,58.6,26,,
Tashaun Gipson Sr.,S,SF,20,69.7,1221,,
Brandon Bolden,HB,LV,1,60,1,,
Harrison Smith,S,MIN,15,68.4,984,,
Josh Norman,CB,CAR,2,54,71,,
Justin Bethel,CB,MIA,6,51.4,125,,
Xavier Rhodes,CB,DAL,3,54.8,96,,
Darius Slay,CB,PHI,20,73.1,1145,,
Giovani Bernard,HB,TB,1,70.3,1,,
Justin Madubuike,DI,BLT,18,63.8,684,,
Jon Bostic,LB,WAS,9,46.1,263,,
Jamie Collins Sr.,LB,NE,3,64.2,41,,
Tyrann Mathieu,S,NO,17,81.2,1128,,
Broderick Washington,DI,BLT,18,70.5,501,,
Logan Ryan,S,TB,10,67.1,481,,
Duron Harmon,S,LV,17,72.3,1076,,
Brandon Williams,DI,KC,8,51.5,115,,
Akeem Spence,DI,SF,7,43.3,147,,
Travis Jones,DI,BLT,16,61.7,340,,
Oday Aboushi,G,LA,1,60,1,,
Steven Means,ED,BLT,2,75.7,29,,
A.J. Klein,LB,BUF,5,47.9,105,,
Micah Hyde,S,BUF,2,68.4,101,,
Jordan Poyer,S,BUF,14,65.7,886,,
Nick Williams,DI,NYG,8,59.9,227,,
Tony Jefferson,S,NYG,11,62.3,193,,
Brandon Copeland,ED,BLT,3,53.7,52,,
Chris Banjo,S,ARZ,11,67.7,79,,
Nickell Robey-Coleman,CB,LV,1,64.2,14,,
Odafe Oweh,ED,BLT,18,60.1,665,,64.68292683
Von Miller,ED,BUF,11,85.8,450,,
DaQuan Jones,DI,BUF,17,73.6,692,,
Anthony Barr,LB,DAL,16,60.5,707,,
Jordan Phillips,DI,BUF,13,50,365,,
Kyle Fuller,CB,BLT,1,55.3,80,,
C.J. Mosley,LB,NYJ,17,69.8,1113,,
Jimmie Ward,S,SF,15,80.6,640,,
Bradley Roby,CB,NO,13,45.4,628,,
Shaq Lawson,ED,BUF,17,64.2,537,,
Ed Oliver,DI,BUF,15,67.5,631,,
Lamarcus Joyner,S,NYJ,14,57,872,,
Jeremiah Attaochu,ED,LAC,3,64.9,21,,
Christian Kirksey,LB,HST,17,56.1,1139,,
Boogie Basham,ED,BUF,17,69.9,447,,
Tim Settle,DI,BUF,17,55.7,435,,
Dontae Johnson,CB,SF,1,59.6,18,,
Kevin Pierre-Louis,LB,HST,2,45.8,42,,
A.J. Epenesa,ED,BUF,17,57.1,438,,
Devon Kennard,ED,BLT,7,59.3,128,,
T.J. Carrie,CB,CAR,3,33.4,37,,
Greg Rousseau,ED,BUF,15,80.9,552,,61.54285714
Terrance Mitchell,CB,TEN,11,61.2,397,,
Henry Anderson,ED,CAR,11,65.1,203,,
Shaquil Barrett,ED,TB,8,68.3,382,,
Christian Jones,ED,SEA,2,64.6,20,,
Matt Ioannidis,DI,CAR,13,66.4,640,,
Adrian Phillips,S,NE,17,72.7,702,,
C.J. Goodwin,CB,DAL,1,70.6,1,,
Daniel Sorensen,S,NO,10,64.3,166,,
Joe Thomas,LB,CHI,14,63,413,,
Keith Smith,FB,ATL,1,59.9,1,,
Bravvion Roy,DI,CAR,13,54,299,,
K'Waun Williams,CB,DEN,14,67.2,596,,
Derrick Brown,DI,CAR,17,84.4,870,,
Brian Burns,ED,CAR,16,64.5,951,,
Danny Shelton,DI,KC,1,47.6,9,,
Marquis Haynes Sr.,ED,CAR,17,59.3,470,,
Marcus Peters,CB,BLT,14,65.9,791,,
Yetur Gross-Matos,ED,CAR,17,51.2,847,,
Shaq Thompson,LB,CAR,17,72.3,1089,,
Landon Collins,S,NYG,7,63.6,171,,
Marquan McCall,DI,CAR,16,56.8,185,,64.085
Mike Pennel,DI,CHI,17,45.8,363,,
Eric Kendricks,LB,MIN,18,60.1,1166,,
