player,player_id,position,team_name,player_game_count,grades_offense,grades_pass_block,grades_run_block,snap_counts_block,,
Kelvin Beachum,7229,T,ARZ,17,70.6,76.4,59.6,1177,,
Will Hernandez,46180,G,ARZ,13,65.4,79.1,61.1,843,,
Billy Price,46795,C,ARZ,11,51.3,66,55.6,752,,
Josh Jones,26634,T,ARZ,13,75.8,75.9,74,622,,
Max Garcia,9566,G,ARZ,11,54.5,51.7,55.2,542,,63.52
Drew Dalman,52270,C,ATL,17,65.9,55.1,69.5,1051,,
Kaleb McGary,46912,T,ATL,17,86.6,66.9,91.6,1051,,
Jake Matthews,8641,T,ATL,17,77.2,80.9,69.5,1047,,
Chris Lindstrom,46692,G,ATL,17,95,81.7,93.1,1047,,81.175
Ben Powers,41482,G,BLT,18,62.3,86.7,50.1,1163,,
Tyler Linderbaum,82291,C,BLT,18,74.6,53.5,84.2,1161,,
Morgan Moses,8701,T,BLT,18,78.6,76.9,80.7,1087,,
Kevin Zeitler,7032,G,BLT,16,74.7,82.5,67.9,1021,,
Ronnie Stanley,10640,T,BLT,12,69.4,82.2,54.9,671,,
Patrick Mekari,46219,T,BLT,15,73.1,80.3,62,384,,72.11666667
Rodger Saffold,5558,G,BUF,18,44,50.2,43.4,1195,,
Dion Dawkins,11818,T,BUF,17,73.8,80.4,60.9,1088,,
Ryan Bates,28300,G,BUF,17,61.4,63.5,58,1082,,
Spencer Brown,42296,T,BUF,16,53.4,51.6,56.2,982,,
Mitch Morse,9482,C,BUF,15,61,70.1,56,902,,
David Quessenberry,7957,T,BUF,10,59.3,62.3,53.7,397,,
Bobby Hart,9659,G,BUF,16,51.7,52.9,54.1,123,,57.8
Taylor Moton,11819,T,CAR,17,69.3,82.4,55.2,1018,,
Ikem Ekwonu,98286,T,CAR,17,65.3,67.5,64,1018,,
Austin Corbett,46290,G,CAR,17,69.1,76.2,62.6,985,,
Brady Christensen,51985,G,CAR,17,57.3,68.8,53.3,965,,
Bradley Bozeman,27934,C,CAR,11,63.1,53.3,67.3,680,,
Cameron Erving,9452,T,CAR,10,53.9,78.5,58.3,72,,63
Braxton Jones,60092,T,CHI,17,75.4,70.5,79.4,1033,,
Sam Mustipher,13026,C,CHI,17,63.4,55.1,65.5,1020,,
Cody Whitehair,10690,G,CHI,12,65.9,66.9,62.3,661,,
Teven Jenkins,41534,G,CHI,13,80.7,65.9,82.2,576,,
Riley Reiff,7029,T,CHI,12,64.3,67,59.1,541,,
Larry Borom,59879,T,CHI,11,64.7,69.9,62.1,528,,
Michael Schofield III,8730,G,CHI,10,66.9,75,62.7,418,,68.75714286
Cordell Volson,30614,G,CIN,19,53.7,52.7,55,1305,,
Ted Karras,10855,C,CIN,19,65.1,76.1,58.7,1298,,
Jonah Williams,41651,T,CIN,17,61,62.8,51,1131,,
Alex Cappa,66578,G,CIN,16,67.6,71.4,62.3,1086,,
La'el Collins,9719,T,CIN,15,57.9,44.2,73.5,951,,
Hakeem Adeniji,45419,T,CIN,16,46.9,36.2,58.9,418,,58.7
Joel Bitonio,8670,G,CLV,17,87.5,80.2,84.4,1172,,
Jedrick Wills Jr.,58467,T,CLV,17,62.9,69.6,55.3,1152,,
Wyatt Teller,46131,G,CLV,15,70.3,67.9,70.3,927,,
Jack Conklin,10642,T,CLV,14,66.7,78.8,51.8,913,,
Ethan Pocic,11813,C,CLV,13,78.9,71.5,78.9,819,,
Hjalte Froholdt,44959,C,CLV,13,61.4,49,67.5,590,,
James Hudson III,59854,T,CLV,14,57.8,43.7,77,296,,69.35714286
Tyler Smith,98385,T,DAL,19,73.3,65.5,75.2,1274,,
Zack Martin,8651,G,DAL,19,72.8,82.2,63.7,1273,,
Tyler Biadasz,41178,C,DAL,18,60.5,64.3,58.4,1195,,
Connor McGovern,41714,G,DAL,17,53.5,76.6,43.1,1011,,
Terence Steele,39461,T,DAL,13,73.9,63.7,82.1,818,,
Jason Peters,2148,T,DAL,13,70.2,62.5,70.3,268,,67.36666667
Cam Fleming,8775,T,DEN,15,72.6,74.1,67.8,976,,
Dalton Risner,47008,G,DEN,15,61.1,72.6,53.4,967,,
Graham Glasgow,10729,C,DEN,15,59.3,62.7,61.6,929,,
Quinn Meinerz,112915,G,DEN,13,77.7,67.1,78.6,752,,
Calvin Anderson,46247,T,DEN,10,65,66.1,59.3,439,,67.14
Taylor Decker,10650,T,DET,17,74.4,76.5,67.6,1142,,
Penei Sewell,81788,T,DET,17,80.6,74.2,83,1140,,
Frank Ragnow,39137,C,DET,16,77.9,68.9,78.9,1074,,
Jonah Jackson,37070,G,DET,13,66.1,53,70.3,858,,
Evan Brown,38709,G,DET,13,64.8,45.5,69.5,768,,
Dan Skipper,12307,G,DET,15,43.9,19.6,54.6,384,,67.95
Josh Myers,59992,C,GB,17,60.4,74.3,53.5,1091,,
Jon Runyan,36661,G,GB,17,62.6,77,53.6,1051,,
Elgton Jenkins,46298,G,GB,15,72.3,67.8,71.8,960,,
Yosh Nijman,60822,T,GB,17,63.1,74.4,54.1,756,,
David Bakhtiari,7891,T,GB,11,79.8,87.8,68.5,596,,67.64
Laremy Tunsil,10647,T,HST,17,80,91.7,66.2,1060,,
A.J. Cann,9500,G,HST,16,66.6,64.8,63.9,1003,,
Tytus Howard,25472,T,HST,17,67.9,70.2,64.5,997,,
Scott Quessenberry,23918,C,HST,16,36.6,25.8,43.7,990,,
Kenyon Green,99052,G,HST,15,37.7,27,47.4,823,,
Charlie Heck,36501,T,HST,14,55.7,74.2,42.8,161,,57.41666667
Quenton Nelson,12954,G,IND,17,68.4,74.1,64.6,1148,,
Ryan Kelly,10652,C,IND,17,64.3,64.8,64.3,1092,,
Braden Smith,46794,T,IND,16,75.5,75.9,75,1066,,
Bernhard Raimann,77948,T,IND,13,73.3,71.4,74.7,709,,
Will Fries,41530,G,IND,11,58.4,44.4,66.2,642,,
Matt Pryor,46647,T,IND,12,44.9,40.8,50.8,576,,
Danny Pinter,47339,G,IND,14,44.7,36.2,47,292,,61.35714286
Luke Fortner,42028,C,JAX,19,52,59.9,48,1256,,
Jawaan Taylor,41665,T,JAX,19,59.5,75.9,39.7,1230,,
Brandon Scherff,9438,G,JAX,19,60.6,63.4,56.9,1221,,
Tyler Shatley,9257,G,JAX,16,60.4,69.3,53.3,954,,
Cam Robinson,11789,T,JAX,14,67.2,74.8,57.3,911,,
Walker Little,52287,T,JAX,13,61.7,62.7,60,369,,60.23333333
Creed Humphrey,59996,C,KC,20,89.9,81.3,91,1329,,
Orlando Brown Jr.,46227,T,KC,20,75.4,76.8,68.8,1324,,
Andrew Wylie,12333,T,KC,20,61.6,62.1,59.5,1282,,
Trey Smith,62960,G,KC,19,72.3,68.4,70.8,1230,,
Joe Thuney,10712,G,KC,18,78.4,88.9,67.6,1190,,
Nick Allegretti,39268,G,KC,14,52.5,35.8,60.9,285,,71.68333333
Rob Havenstein,9490,T,LA,17,73.2,68.6,71.7,1019,,
Coleman Shelton,39316,C,LA,13,58,71.3,55.4,720,,
Ty Nsekhe,7636,T,LA,10,70.6,80.7,67.5,423,,67.26666667
Matt Feiler,9289,G,LAC,18,54.6,64.1,50,1259,,
Zion Johnson,99681,G,LAC,18,62.2,52.8,67.2,1254,,
Jamaree Salyer,81656,T,LAC,15,69.8,76.4,53.5,1029,,
Trey Pipkins III,91462,T,LAC,15,59.8,65.4,50.5,968,,
Corey Linsley,8796,C,LAC,15,74,90.2,64.9,928,,64.08
Dylan Parham,60953,G,LV,17,61.9,48.8,66.9,1036,,
Kolton Miller,47013,T,LV,16,84.1,84.8,76.6,1035,,
Andre James,47058,C,LV,15,62.8,64.5,59.3,964,,
Jermaine Eluemunor,11914,T,LV,17,75.3,76.1,75.7,940,,
Alex Bars,47018,G,LV,14,45.4,55.4,39.6,852,,
