Year,Team,OffYPG,OffRank,DefYPG,DefRank,PFFOL,OLRank,PFFDL,DLRank
2023,ARI,324.1,19,355.7,25,63.225,21,52.75161,32
2023,ATL,334.3,17,321.1,11,75.14,2,64.15357,8
2023,BAL,370.4,6,301.4,6,70.98,7,68.41034,1
2023,BUF,374.5,4,307.2,9,63.84,20,61.75,17
2023,CAR,265.3,32,293.9,4,68.06667,11,61.38387,19
2023,CHI,323.2,20,324.2,12,58.7,28,59.11538,28
2023,CIN,318.9,22,374.6,31,63.04,22,61.86296,16
2023,CLE,335.9,16,270.2,1,61.06667,25,66.31923,3
2023,DAL,371.6,5,299.7,5,69.52,8,63.27059,9
2023,DEN,298.4,26,370.8,29,72.36,4,57.85357,30
2023,DET,394.8,3,336.1,19,79.72,1,61.90769,15
2023,GB,345.5,11,335.1,17,64.2,19,61.47188,18
2023,HOU,342.4,12,330.7,14,64.8,17,62.33333,13
2023,IND,336.8,15,349.8,24,67.22,14,60.48571,23
2023,JAX,339.5,13,342.8,22,56.58,30,59.51481,25
2023,KC,351.3,9,289.8,2,67.7,13,61.92667,14
2023,LV,289.5,27,330.9,15,71.84,5,62.83214,10
2023,LAC,329.4,18,362.9,28,61.58,23,60.53824,22
2023,LAR,359.3,7,337.9,20,71.48,6,58.45143,29
2023,MIA,401.3,1,318.3,10,59.84,27,67.29565,2
2023,MIN,347.8,10,333.2,16,66.88,15,59.45556,27
2023,NE,276.2,30,301.6,7,69.03333,9,62.58387,11
2023,NO,337.2,14,327.2,13,64.6,18,62.575,12
2023,NYG,280,29,361.7,27,41.7,32,59.50909,26
2023,NYJ,268.6,31,292.3,3,56.4,31,64.33846,6
2023,PHI,354.4,8,356.1,26,74.86,3,64.15862,7
2023,PIT,304.3,25,342.1,21,59.98,26,65.46452,4
2023,SF,398.4,2,303.9,8,67.81667,12,64.41852,5
2023,SEA,322.9,21,371.4,30,58.6,29,59.69,24
2023,TB,313,23,344.2,23,61.5,24,61.19643,20
2023,TEN,289,28,335.1,17,66.875,16,61.19444,21
2023,WAS,312.8,24,388.9,32,68.78,10,54.71304,31
