player,player_id,position,team_name,player_game_count,grades_defense,snap_counts_defense,,
Antonio Hamilton Sr.,11353,CB,ARZ,14,64.7,559,,
Budda Baker,11791,S,ARZ,12,64.8,763,,
Carlos Watkins,11897,DI,ARZ,2,60.4,43,,
Jonathan Ledbetter,18645,DI,ARZ,12,36.2,511,,
Krys Barnes,42548,LB,ARZ,10,60.1,408,,
Tyreek Maddox-Williams,42694,LB,ARZ,1,22.8,5,,
Qwuantrezz Knight,43322,S,ARZ,1,62.3,4,,
Ben Stille,43555,DI,ARZ,5,45.4,134,,
Naquan Jones,44363,DI,ARZ,12,40.3,171,,
Kyzir White,44485,LB,ARZ,11,58.9,708,,
Leki Fotu,44614,DI,ARZ,11,46.1,297,,
Eric Banks,45507,DI,ARZ,2,51.7,42,,
Roy Lopez,48676,DI,ARZ,14,65.4,395,,
L.J. Collier,48822,DI,ARZ,1,36.9,37,,
Kevin Strong,48981,DI,ARZ,14,50.1,467,,
Josh Woods,49023,LB,ARZ,11,31.8,568,,
Jalen Thompson,49116,S,ARZ,15,71.3,938,,
Ezekiel Turner,49167,LB,ARZ,2,39.4,50,,
Andre Chachere,51194,S,ARZ,17,71.1,467,,
Victor Dimukeje,56347,ED,ARZ,16,67.5,385,,
Phil Hoskins,56672,DI,ARZ,5,45.9,124,,
Joey Blount,62771,S,ARZ,6,66.9,25,,
Dennis Gardeck,66928,ED,ARZ,17,67.6,510,,
Dante Stills,76937,DI,ARZ,15,59.3,533,,
Zaven Collins,77190,ED,ARZ,17,72.1,636,,
Jesse Luketa,81361,ED,ARZ,12,48.2,132,,
Cameron Thomas,82387,ED,ARZ,15,58.5,355,,
Starling Thomas V,83098,CB,ARZ,11,46.1,473,,
Divaad Wilson,83218,CB,ARZ,2,45.6,96,,
Tyreke Smith,83513,ED,ARZ,3,28,19,,
Owen Pappoe,99006,LB,ARZ,6,65.3,114,,
Garrett Williams,99723,CB,ARZ,9,56.7,360,,
Kei'Trel Clark,104163,CB,ARZ,8,53,464,,
BJ Ojulari,124105,ED,ARZ,17,64.8,409,,52.7516129
Calais Campbell,4364,ED,ATL,17,80,712,,
Keith Smith,9302,FB,ATL,1,61.6,1,,
Bud Dupree,9455,ED,ATL,16,56,725,,
Grady Jarrett,9570,DI,ATL,8,70.1,318,,
David Onyemata,10754,DI,ATL,14,83.3,594,,
Mack Hollins,11873,WR,ATL,1,60,1,,
KhaDarel Hodge,26104,WR,ATL,1,60,1,,
Joe Gaziano,27949,ED,ATL,2,62,48,,
Mike Hughes,34057,CB,ATL,14,51.8,333,,
Albert Huggins,36862,DI,ATL,13,47.8,317,,
Richie Grant,43196,S,ATL,17,51.5,945,,
Kentavius Street,48404,DI,ATL,13,55.1,267,,
Eli Ankou,48856,DI,ATL,1,77.3,9,,
Tre Flowers,49059,CB,ATL,9,53.9,200,,
Jessie Bates III,49162,S,ATL,17,90.6,1134,,
Lorenzo Carter,50126,ED,ATL,17,67,431,,
Andre Smith,50897,LB,ATL,5,77.1,113,,
Micah Abernathy,51344,S,ATL,3,57.5,24,,
Kaden Elliss,51485,LB,ATL,17,75.4,1082,,
A.J. Terrell,55586,CB,ATL,17,74.6,1065,,
Jeff Okudah,55674,CB,ATL,13,50.5,596,,
Arnold Ebiketie,56862,ED,ATL,17,61.4,385,,
Ta'Quon Graham,56868,DI,ATL,15,59.1,364,,
DeAngelo Malone,56941,ED,ATL,3,61.2,3,,
Troy Andersen,57317,LB,ATL,2,50.6,139,,
Nate Landman,57788,LB,ATL,16,72,809,,
LaCale London,87179,DI,ATL,7,65.9,204,,
Zach Harrison,98503,ED,ATL,16,63,343,,64.15357143
DeMarcco Hellams,98863,S,ATL,11,65.2,370,,
Dee Alford,110542,CB,ATL,13,70,571,,
Clark Phillips III,131871,CB,ATL,7,59,414,,
Jadeveon Clowney,8636,ED,BLT,19,82.9,747,,
Kyle Van Noy,8675,ED,BLT,16,75,562,,
Brent Urban,8769,DI,BLT,19,63,309,,
Ronald Darby,9483,CB,BLT,13,70.8,554,,
Daryl Worley,10711,S,BLT,7,69.5,124,,
Kevon Seymour,10852,CB,BLT,2,68.8,13,,
Michael Pierce,11101,DI,BLT,19,80.1,698,,
Andrew Adams,11240,S,BLT,2,44.9,21,,
Marlon Humphrey,11771,CB,BLT,11,65.3,553,,
Marcus Williams,11797,S,BLT,13,73.8,765,,
Arthur Maulet,12224,CB,BLT,16,68.6,458,,
Jeremiah Moon,26453,ED,BLT,6,60.7,102,,
Malik Harrison,28081,LB,BLT,16,74.3,226,,
Justin Madubuike,44304,DI,BLT,19,77.4,849,,
Brandon Stephens,45644,CB,BLT,18,67.4,1206,,
Rock Ya-Sin,49564,CB,BLT,11,63.4,281,,
Broderick Washington,50049,DI,BLT,18,46.6,452,,
Roquan Smith,50892,LB,BLT,18,77.9,1192,,
Geno Stone,55967,S,BLT,19,72.2,1000,,
Del'Shawn Phillips,57868,LB,BLT,9,56.7,81,,
Patrick Queen,57941,LB,BLT,19,73,1246,,
Travis Jones,76914,DI,BLT,19,68.1,518,,
