player,player_id,position,team_name,player_game_count,grades_offense,grades_pass_block,grades_run_block,,Team Avg
Paris Johnson Jr.,129749,T,ARZ,17,60.1,64.2,55.1,,
Hjalte Froholdt,44959,C,ARZ,17,64.1,61.1,67.4,,
Will Hernandez,46180,G,ARZ,17,66.2,70.2,60.6,,
D.J. Humphries,9457,T,ARZ,15,62.5,68.4,56.5,,63.225
Matthew Bergeron,99658,G,ATL,17,59.1,57.1,59.6,,
Chris Lindstrom,46692,G,ATL,16,87.6,78.6,87.5,,
Jake Matthews,8641,T,ATL,17,71.2,80.1,60.2,,
Drew Dalman,52270,C,ATL,14,82.3,53,90,,
Kaleb McGary,46912,T,ATL,14,75.5,69.5,76.5,,75.14
John Simpson,41715,G,BLT,19,56.3,59.2,57.2,,
Kevin Zeitler,7032,G,BLT,17,71.6,82.3,62.4,,
Tyler Linderbaum,82291,C,BLT,17,78.5,78.3,78.6,,
Morgan Moses,8701,T,BLT,16,80.4,77,80.3,,
Ronnie Stanley,10640,T,BLT,15,68.1,75.9,63,,70.98
O'Cyrus Torrence,102821,G,BUF,19,54.9,48.2,58.1,,
Spencer Brown,42296,T,BUF,19,70.1,66.5,73.3,,
Connor McGovern,41714,G,BUF,19,55.4,73.8,44.5,,
Mitch Morse,9482,C,BUF,19,63.9,72.5,61.5,,
Dion Dawkins,11818,T,BUF,19,74.9,77.4,66.9,,63.84
Ikem Ekwonu,98286,T,CAR,17,67.4,62.3,77,,
Bradley Bozeman,27934,C,CAR,17,62.2,48.9,67.5,,
Taylor Moton,11819,T,CAR,17,74.6,78.1,65.6,,68.06666667
Darnell Wright,98480,T,CHI,17,62.4,61.4,66,,
Lucas Patrick,11435,C,CHI,16,50.5,40.6,61.6,,
Cody Whitehair,10690,G,CHI,14,45,55,42.4,,
Teven Jenkins,41534,G,CHI,12,72.6,68.6,71.7,,
Braxton Jones,60092,T,CHI,11,68.8,70.8,68.2,,
Nate Davis,46808,G,CHI,11,52.9,47.9,55.3,,58.7
Jonah Williams,41651,T,CIN,17,58.5,57.9,54,,
Cordell Volson,30614,G,CIN,17,58.3,46.7,64,,
Ted Karras,10855,C,CIN,17,67.4,69.6,64.2,,
Alex Cappa,66578,G,CIN,17,64.9,58.6,67.3,,
Orlando Brown Jr.,46227,T,CIN,17,66.1,66.6,57.1,,63.04
Wyatt Teller,46131,G,CLV,17,72.7,67.3,74,,
Joel Bitonio,8670,G,CLV,16,67.9,71,60.8,,
Ethan Pocic,11813,C,CLV,16,70.8,72.9,68,,
Dawand Jones,101550,T,CLV,11,64.7,73,53.5,,
Geron Christian,46375,T,CLV,11,45.6,55,37.2,,
James Hudson III,59854,T,CLV,16,44.7,48.4,50.7,,61.06666667
Terence Steele,39461,T,DAL,18,52.3,48.9,56.5,,
Tyler Biadasz,41178,C,DAL,17,69.2,64.6,68.3,,
Tyler Smith,98385,G,DAL,15,74.4,70.2,80.7,,
Zack Martin,8651,G,DAL,16,68,75.1,62.3,,
Tyron Smith,6161,T,DAL,14,83.7,89.3,68.4,,69.52
Garett Bolles,11775,T,DEN,17,75.9,83.8,64.3,,
Lloyd Cushenberry III,41924,C,DEN,17,73.2,76.4,72.4,,
Ben Powers,41482,G,DEN,17,61.5,62.1,59.7,,
Quinn Meinerz,112915,G,DEN,17,83.7,67.8,88.7,,
Mike McGlinchey,46275,T,DEN,16,67.5,63.5,74.8,,72.36
Penei Sewell,81788,T,DET,20,92.8,79.2,95.1,,
Graham Glasgow,10729,G,DET,19,74.9,54.8,82.1,,
Taylor Decker,10650,T,DET,18,81.1,79.4,73.9,,
Frank Ragnow,39137,C,DET,18,88.8,70.3,91.3,,
Jonah Jackson,37070,G,DET,14,61,60.7,60.3,,79.72
Josh Myers,59992,C,GB,19,54.7,55.7,53.2,,
Zach Tom,55443,T,GB,19,79.7,72.3,81.2,,
Elgton Jenkins,46298,G,GB,17,63.8,78.3,56.4,,
Jon Runyan,36661,G,GB,19,56.5,62.4,53.2,,
Rasheed Walker,81798,T,GB,19,66.3,74.7,56.3,,64.2
Shaq Mason,9564,G,HST,19,65.6,64.7,65.8,,
George Fant,11282,T,HST,17,61.8,68.7,51.9,,
Laremy Tunsil,10647,T,HST,16,75.5,84.9,66.7,,
Michael Deiter,38554,C,HST,14,56.3,59.4,55.2,,64.8
Quenton Nelson,12954,G,IND,17,70.8,80.3,63.4,,
Will Fries,41530,G,IND,17,61.2,65.4,59.7,,
Bernhard Raimann,77948,T,IND,15,82.7,81.3,74.6,,
Ryan Kelly,10652,C,IND,14,77.2,78.3,75.2,,
Blake Freeland,102844,T,IND,14,44.2,42.6,47.6,,67.22
Luke Fortner,42028,C,JAX,17,44.3,54.9,40,,
Anton Harrison,122929,T,JAX,17,53,60.7,45.8,,
Brandon Scherff,9438,G,JAX,17,67.3,78.7,61.1,,
Ezra Cleveland,41973,G,JAX,13,59.5,57.4,60.4,,
Walker Little,52287,T,JAX,12,58.8,62.6,53.8,,56.58
Creed Humphrey,59996,C,KC,21,81.4,74.3,84.1,,
Trey Smith,62960,G,KC,21,74.6,68.1,76.2,,
Jawaan Taylor,41665,T,KC,21,49.8,64.6,42.6,,
Joe Thuney,10712,G,KC,19,74.9,84.5,65.8,,
Donovan Smith,9467,T,KC,16,57.8,62.2,48,,67.7
Steve Avila,77319,G,LA,18,60.5,65,56,,
Coleman Shelton,39316,C,LA,18,66.1,49.2,74.6,,
Alaric Jackson,40972,T,LA,16,66.6,68.3,59.5,,
Kevin Dotson,46735,G,LA,15,84.4,66.8,88.4,,
Rob Havenstein,9490,T,LA,15,79.8,66.9,85.6,,71.48
Rashawn Slater,59971,T,LAC,17,76.6,84.7,59.5,,
Jamaree Salyer,81656,G,LAC,17,54.2,61.2,49.4,,
Trey Pipkins III,91462,T,LAC,17,62.8,67.3,50.3,,
Zion Johnson,99681,G,LAC,15,57.6,58.8,57.2,,
Will Clapp,39386,C,LAC,14,56.7,55.1,56.9,,61.58
Dylan Parham,60953,G,LV,17,60.4,61.8,57.6,,
Greg Van Roten,7746,G,LV,17,75.3,77.4,68.5,,
Andre James,47058,C,LV,16,74.6,71.2,75,,
Jermaine Eluemunor,11914,T,LV,17,68.7,64.7,71.5,,
Kolton Miller,47013,T,LV,13,80.2,79.3,73.3,,71.84
Austin Jackson,60816,T,MIA,17,66.9,62.3,69.5,,
Liam Eichenberg,41851,C,MIA,17,45.2,43.2,49.1,,
Lester Cotton,46085,G,MIA,11,46.4,57.2,45.4,,
Kendall Lamm,10017,T,MIA,13,64.3,67.1,55.3,,
Robert Hunt,46139,G,MIA,11,76.4,74.4,74.7,,59.84
Christian Darrisaw,77373,T,MIN,15,82.4,85.3,73.9,,
Ed Ingram,59819,G,MIN,15,59.5,60.9,59.1,,
Brian O'Neill,46854,T,MIN,14,74.5,73.4,71.7,,
Garrett Bradbury,46013,C,MIN,14,60.9,56.8,65.5,,
Dalton Risner,47008,G,MIN,12,57.1,67.4,50,,66.88
David Andrews,9948,C,NE,17,71.2,51.2,78,,
Mike Onwenu,27357,T,NE,15,71.5,68,72.2,,
Sidy Sow,59675,G,NE,13,64.4,46.3,71.3,,69.03333333
Erik McCoy,37347,C,NO,17,79.4,59.3,89.4,,
Cesar Ruiz,59857,G,NO,16,51.2,58.3,46.3,,
James Hurst,9001,G,NO,15,58.7,58.9,56.9,,
Andrus Peat,9446,T,NO,14,60.2,54.5,62.1,,
Ryan Ramczyk,11787,T,NO,12,73.5,73.6,67.3,,64.6
Ben Bredeson,27305,G,NYG,16,42.1,42.4,41.4,,
Justin Pugh,7800,G,NYG,12,41.6,37.8,47.3,,
John Michael Schmitz Jr.,55238,C,NYG,13,41.4,26.9,51.3,,41.7
Laken Tomlinson,9461,G,NYJ,17,55,60.6,49.6,,
Mekhi Becton,59818,T,NYJ,16,53.2,60.7,56.3,,
Joe Tippmann,101568,C,NYJ,14,61,52.7,67.4,,56.4
Jordan Mailata,66916,T,PHI,18,84.8,84.5,83.9,,
Jason Kelce,6343,C,PHI,18,78.6,70.9,84.3,,
Landon Dickerson,41712,G,PHI,17,69.4,76.9,66.9,,
Lane Johnson,7786,T,PHI,17,80.1,80,75.8,,
Cam Jurgens,84014,G,PHI,12,61.4,51.6,64.8,,74.86
Mason Cole,45547,C,PIT,18,53.2,32.4,63.3,,
Isaac Seumalo,10713,G,PIT,18,73.9,66.4,73.1,,
Dan Moore Jr.,60120,T,PIT,17,54.4,42.1,60.5,,
James Daniels,45576,G,PIT,16,61.1,60.5,58.6,,
Broderick Jones,124025,T,PIT,15,57.3,47.6,61.2,,59.98
Evan Brown,38709,C,SEA,16,55.5,59.1,57.2,,
